full_text,created_at
RT @NicoOlsze: 3) ¿O sea que ya tienen una vacuna efectiva y la van a empezar a producir en masa? No. Todavía ni siquiera empezaron las pru…,2020-04-20 22:51:03
RT @TwisterFilm: 10./ The article suggests nothing useful came out of the Cobra meeting. Yet Whitty gave detailed briefings to the press an…,2020-04-20 22:08:45
"This is what a vaccine manufacturing centre looks like ... VMIC at Harwell Science &amp; Technology park , Oxford UK...&amp; I’m helping to design and build it .... it may save millions of Lives when it makes the Covid 19 vaccine ( when it’s developed ) 🦠🦠🦠🦠🦠 https://t.co/eTPt4iMdS8",2020-04-20 21:56:30
UK researchers to trial Covid-19 vaccine and plasma therapy https://t.co/4PlbTb3ZOS via @Clinical Trials Arena,2020-04-20 23:07:56
RT @DailyMailUK: Scientist urges Government to help produce millions of doses amid hopes jab could be ready by September https://t.co/UH56q…,2020-04-20 22:14:00
"RT @UoSMedia: If you are:

 ☑️ healthy
 ☑️ aged 18-55
 ☑️ based in the Southampton area

you could help trial a safe vaccine against #COVID…",2020-04-20 22:35:15
"RT @21WIRE: Some truth for once? UK Science Advisor says #vaccine efficacy is 'not certainty'. However, as with soldiers - looks like #NHS…",2020-04-20 22:21:11
"RT @RDsouthampton: If you are:

✅ healthy 
✅ aged 18-55 
✅ and based within the Southampton area

you can help us develop a safe vaccine ag…",2020-04-20 22:57:31
RT @NicoOlsze: 3) ¿O sea que ya tienen una vacuna efectiva y la van a empezar a producir en masa? No. Todavía ni siquiera empezaron las pru…,2020-04-20 22:37:59
"RT @RevDrBarber: We don’t need guns, anger &amp; flags. We need grace towards each other, testing &amp; tracing until there is a vaccine &amp; full coo…",2020-04-20 22:48:34
"So, it seems to me that there's no way there's no second wave unless  there's a vaccine first. Once we get over this first wave, and we are, we're past the worst of this wave in  UK hospitals,  this thing is coming back in waves. Each wave will be different 1/..",2020-04-20 22:02:24
"RT @RealNatalieRowe: 🤔.. Yeah, the plot thickens.  2019.  Guess you saw the future ... NO CORONA vaccine is going into my blood stream. ⁦@M…",2020-04-20 22:36:44
"RT @DailyMailUK: Don't rely on vaccine to end coronavirus crisis because it is a 'long shot' and will 'take time', Sir Patrick Vallance war…",2020-04-20 22:14:44
"RT @SaulFaust: We are looking for volunteers to take part in our COVID-19 vaccine trial.  If you are aged 18-55 and in good health, you cou…",2020-04-20 22:22:07
"RT @21WIRE: Some truth for once? UK Science Advisor says #vaccine efficacy is 'not certainty'. However, as with soldiers - looks like #NHS…",2020-04-20 22:24:55
"Djokovic's vaccine reluctance may halt career post coronavirus crisis
  Keep your Ass at HOME  https://t.co/s6kwRGrtKj",2020-04-20 22:36:45
"Antidote already exists. 1% and Trump, UK Nazi regime etc. If you're rich enough you're ok

https://t.co/ewIpUXetkt",2020-04-20 23:12:21
"RT @RevDrBarber: We don’t need guns, anger &amp; flags. We need grace towards each other, testing &amp; tracing until there is a vaccine &amp; full coo…",2020-04-20 21:58:04
"RT @vaxresearch: Dr Anna Blakney - seeing positive results from testing, in the work to develop a COVID-19 vaccine. https://t.co/t3lb1NeB6t",2020-04-20 22:22:54
"RT @imperialcollege: Finally, a team led by our Professor Robin Shattock @roboskis has been awarded government funding to take their work o…",2020-04-20 22:03:43
"RT @RevDrBarber: We don’t need guns, anger &amp; flags. We need grace towards each other, testing &amp; tracing until there is a vaccine &amp; full coo…",2020-04-20 21:46:50
"RT @RevDrBarber: We don’t need guns, anger &amp; flags. We need grace towards each other, testing &amp; tracing until there is a vaccine &amp; full coo…",2020-04-20 21:46:27
"@jaketapper Defend this you Dope!

*2009 Lawsuit Exposed Illuminati Bio-Terror Vaccine Plot

https://t.co/duwE2NnhZh https://t.co/8yLEKqLSL4",2020-04-20 22:55:52
"RT @FergalBowers: Trials of a vaccine that could protect against Covid-19 are to start in the UK. Work on the vaccine, developed by clinica…",2020-04-20 22:36:55
"RT @DailyMailUK: MMR vaccine is 'safe and does not cause autism', study finds https://t.co/OIg3YgomJN",2020-04-20 22:08:48
"Scientists discover blood from llamas could hold key to coronavirus vaccine
 https://t.co/nz1On4WbjD https://t.co/aZIKFZJHRL",2020-04-20 22:58:00
"RT @Drcarinanos: Sarah Gilbert, de la Universidad de Oxford. Prevé que tendrán la vacuna del coronavirus disponible para septiembre de este…",2020-04-20 22:20:11
"RT @dailystar: Scientists discover blood from llamas could hold key to coronavirus vaccine
 https://t.co/nz1On4WbjD https://t.co/aZIKFZJHRL",2020-04-20 22:59:29
RT @TwisterFilm: 10./ The article suggests nothing useful came out of the Cobra meeting. Yet Whitty gave detailed briefings to the press an…,2020-04-20 22:46:35
Bill Gates y su sociedad con Oxford Biomedica. La filantropía de la facturación  https://t.co/RSV5gkbWKf https://t.co/dl22mrihKJ,2020-04-20 22:45:28
"RT @RevDrBarber: We don’t need guns, anger &amp; flags. We need grace towards each other, testing &amp; tracing until there is a vaccine &amp; full coo…",2020-04-20 22:50:37
"RT @UoSMedia: If you are:

 ☑️ healthy
 ☑️ aged 18-55
 ☑️ based in the Southampton area

you could help trial a safe vaccine against #COVID…",2020-04-20 22:36:39
"RT @RCPath: We’re pleased that College Fellow and Deputy Chief Medical Officer for England, Professor Jonathan Van-Tam, is leading on the n…",2020-04-20 21:57:28
"RT @RevDrBarber: We don’t need guns, anger &amp; flags. We need grace towards each other, testing &amp; tracing until there is a vaccine &amp; full coo…",2020-04-20 23:13:57
RT @CGTCatapult: We welcome Friday's announcement from Business Secretary @AlokSharma_RDG of £14m to rapidly progress #COVID19 treatments a…,2020-04-20 22:26:58
"RT @UoSMedia: If you are:

 ☑️ healthy
 ☑️ aged 18-55
 ☑️ based in the Southampton area

you could help trial a safe vaccine against #COVID…",2020-04-20 22:37:25
"Daily Mail, 25 Jan, noted that 2,500 people flew into UK from Wuhan over previous 2 weeks

Prof Chris Whitty, England's CMO, sd experts had decided that 'screening would not provide any appreciable increase in benefit 4 the UK public'.

Experts were wrong! https://t.co/Ox5NP63I0R",2020-04-20 22:20:27
"THIS APPROACH IS PURELY UNTIL COVID VACCINE IS FORCED UPON ENTIRE POPULATION. SCIENTISTS NOT LOOKING AT TESTING OR TREATMENTS, JUST A VACCINE:
https://t.co/ecDu3eJ2jb",2020-04-20 22:11:16
"UK‘s Chief Scientific Adviser Says Coronavirus Vaccine a ‘Long Shot‘ 

https://t.co/X6OudaBPOX via @BreitbartNews",2020-04-20 22:27:14
"RT @RealNatalieRowe: 🤔.. Yeah, the plot thickens.  2019.  Guess you saw the future ... NO CORONA vaccine is going into my blood stream. ⁦@M…",2020-04-20 22:39:18
